exception_id,module,control_id,control_name,severity,entity_id,detail,exposure_factor,rule_version,detected_at,priority_score
EX00106,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0004028,"acct A00388; amount 1,214.47 unmatched",1.5,1.3.0,2026-07-01,9.0
EX00107,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0004166,acct A00092; amount 354.55 unmatched,1.2,1.3.0,2026-07-01,7.199999999999999
EX00108,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0004232,acct A00236; amount 74.66 unmatched,1.0,1.3.0,2026-07-01,6.0
EX00109,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0004314,acct A00235; amount 384.44 unmatched,1.2,1.3.0,2026-07-01,7.199999999999999
EX00110,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0004315,acct A00042; amount 232.71 unmatched,1.2,1.3.0,2026-07-01,7.199999999999999
EX00111,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0004354,acct A00385; amount 255.23 unmatched,1.2,1.3.0,2026-07-01,7.199999999999999
EX00112,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0004365,"acct A00207; amount 3,791.12 unmatched",1.5,1.3.0,2026-07-01,9.0
EX00113,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0004641,acct A00020; amount 89.89 unmatched,1.0,1.3.0,2026-07-01,6.0
EX00114,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0004670,acct A00111; amount 155.93 unmatched,1.2,1.3.0,2026-07-01,7.199999999999999
EX00115,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0004866,acct A00158; amount 439.42 unmatched,1.2,1.3.0,2026-07-01,7.199999999999999
EX00116,M3 Reconciliation & Payments,TR-02,Ledger/processor amount mismatch,High,T0000155,ledger 255.79 vs processor 285.66; difference 29.87,1.0,1.3.0,2026-07-01,6.0
EX00117,M3 Reconciliation & Payments,TR-02,Ledger/processor amount mismatch,High,T0000594,ledger 230.55 vs processor 256.42; difference 25.87,1.0,1.3.0,2026-07-01,6.0
EX00118,M3 Reconciliation & Payments,TR-02,Ledger/processor amount mismatch,High,T0001157,ledger 596.33 vs processor 637.03; difference 40.70,1.0,1.3.0,2026-07-01,6.0
EX00119,M3 Reconciliation & Payments,TR-02,Ledger/processor amount mismatch,High,T0001224,ledger 809.85 vs processor 887.99; difference 78.14,1.0,1.3.0,2026-07-01,6.0
EX00120,M3 Reconciliation & Payments,TR-02,Ledger/processor amount mismatch,High,T0001475,ledger 242.74 vs processor 273.01; difference 30.27,1.0,1.3.0,2026-07-01,6.0
EX00121,M3 Reconciliation & Payments,TR-02,Ledger/processor amount mismatch,High,T0001509,"ledger 2,119.39 vs processor 2,284.49; difference 165.10",1.2,1.3.0,2026-07-01,7.199999999999999
EX00122,M3 Reconciliation & Payments,TR-02,Ledger/processor amount mismatch,High,T0001597,ledger 51.34 vs processor 55.93; difference 4.59,1.0,1.3.0,2026-07-01,6.0
EX00123,M3 Reconciliation & Payments,TR-02,Ledger/processor amount mismatch,High,T0001625,ledger 796.02 vs processor 852.72; difference 56.70,1.0,1.3.0,2026-07-01,6.0
EX00124,M3 Reconciliation & Payments,TR-02,Ledger/processor amount mismatch,High,T0001912,"ledger 2,030.05 vs processor 2,239.35; difference 209.30",1.2,1.3.0,2026-07-01,7.199999999999999
EX00125,M3 Reconciliation & Payments,TR-02,Ledger/processor amount mismatch,High,T0002313,ledger 219.50 vs processor 239.16; difference 19.66,1.0,1.3.0,2026-07-01,6.0
EX00126,M3 Reconciliation & Payments,TR-02,Ledger/processor amount mismatch,High,T0002946,ledger 642.64 vs processor 695.67; difference 53.03,1.0,1.3.0,2026-07-01,6.0
EX00127,M3 Reconciliation & Payments,TR-02,Ledger/processor amount mismatch,High,T0003128,ledger 615.27 vs processor 658.46; difference 43.19,1.0,1.3.0,2026-07-01,6.0
EX00128,M3 Reconciliation & Payments,TR-02,Ledger/processor amount mismatch,High,T0004270,ledger 36.53 vs processor 37.36; difference 0.83,1.0,1.3.0,2026-07-01,6.0
EX00129,M3 Reconciliation & Payments,TR-02,Ledger/processor amount mismatch,High,T0004300,ledger 34.34 vs processor 36.54; difference 2.20,1.0,1.3.0,2026-07-01,6.0
EX00130,M3 Reconciliation & Payments,TR-02,Ledger/processor amount mismatch,High,T0004345,ledger 288.98 vs processor 299.90; difference 10.92,1.0,1.3.0,2026-07-01,6.0
EX00131,M3 Reconciliation & Payments,TR-02,Ledger/processor amount mismatch,High,T0004477,ledger 547.21 vs processor 574.16; difference 26.95,1.0,1.3.0,2026-07-01,6.0
EX00132,M3 Reconciliation & Payments,TR-02,Ledger/processor amount mismatch,High,T0004529,"ledger 1,327.89 vs processor 1,374.73; difference 46.84",1.0,1.3.0,2026-07-01,6.0
EX00133,M3 Reconciliation & Payments,TR-02,Ledger/processor amount mismatch,High,T0004636,ledger 258.04 vs processor 276.44; difference 18.40,1.0,1.3.0,2026-07-01,6.0
EX00134,M3 Reconciliation & Payments,TR-02,Ledger/processor amount mismatch,High,T0004644,ledger 221.98 vs processor 225.19; difference 3.21,1.0,1.3.0,2026-07-01,6.0
EX00135,M3 Reconciliation & Payments,TR-02,Ledger/processor amount mismatch,High,T0004720,ledger 24.89 vs processor 27.36; difference 2.47,1.0,1.3.0,2026-07-01,6.0
EX00136,M3 Reconciliation & Payments,TR-02,Ledger/processor amount mismatch,High,T0004741,"ledger 1,407.90 vs processor 1,470.11; difference 62.21",1.0,1.3.0,2026-07-01,6.0
EX00137,M3 Reconciliation & Payments,TR-02,Ledger/processor amount mismatch,High,T0004842,ledger 277.00 vs processor 318.35; difference 41.35,1.0,1.3.0,2026-07-01,6.0
EX00138,M3 Reconciliation & Payments,TR-03,Duplicate transaction identifier,Critical,T0000246,2 ledger postings of 560.29,1.2,1.3.0,2026-07-01,10.799999999999999
EX00139,M3 Reconciliation & Payments,TR-03,Duplicate transaction identifier,Critical,T0000516,2 ledger postings of 890.55,1.2,1.3.0,2026-07-01,10.799999999999999
EX00140,M3 Reconciliation & Payments,TR-03,Duplicate transaction identifier,Critical,T0000694,2 ledger postings of 126.74,1.2,1.3.0,2026-07-01,10.799999999999999
EX00141,M3 Reconciliation & Payments,TR-03,Duplicate transaction identifier,Critical,T0000808,2 ledger postings of 241.43,1.2,1.3.0,2026-07-01,10.799999999999999
EX00142,M3 Reconciliation & Payments,TR-03,Duplicate transaction identifier,Critical,T0002243,2 ledger postings of 456.02,1.2,1.3.0,2026-07-01,10.799999999999999
EX00143,M3 Reconciliation & Payments,TR-03,Duplicate transaction identifier,Critical,T0003408,2 ledger postings of 999.97,1.2,1.3.0,2026-07-01,10.799999999999999
EX00144,M3 Reconciliation & Payments,TR-03,Duplicate transaction identifier,Critical,T0004494,2 ledger postings of 75.81,1.0,1.3.0,2026-07-01,9.0
EX00145,M3 Reconciliation & Payments,TR-03,Duplicate transaction identifier,Critical,T0004584,2 ledger postings of 555.41,1.2,1.3.0,2026-07-01,10.799999999999999
EX00146,M3 Reconciliation & Payments,TR-04,Unreconciled item aged beyond threshold,Medium,T0000409,acct A00228; open 27 business days; amount 772.27,1.6,1.3.0,2026-07-01,4.800000000000001
EX00147,M3 Reconciliation & Payments,TR-04,Unreconciled item aged beyond threshold,Medium,T0000462,acct A00050; open 16 business days; amount 605.06,1.3555555555555556,1.3.0,2026-07-01,4.066666666666666
EX00148,M3 Reconciliation & Payments,TR-04,Unreconciled item aged beyond threshold,Medium,T0001329,"acct A00260; open 59 business days; amount 1,136.56",2.0,1.3.0,2026-07-01,6.0
EX00149,M3 Reconciliation & Payments,TR-04,Unreconciled item aged beyond threshold,Medium,T0001372,acct A00290; open 24 business days; amount 44.08,1.5333333333333332,1.3.0,2026-07-01,4.6
EX00150,M3 Reconciliation & Payments,TR-04,Unreconciled item aged beyond threshold,Medium,T0001590,acct A00198; open 36 business days; amount 552.86,1.8,1.3.0,2026-07-01,5.4
EX00151,M3 Reconciliation & Payments,TR-04,Unreconciled item aged beyond threshold,Medium,T0002454,acct A00259; open 17 business days; amount 63.32,1.3777777777777778,1.3.0,2026-07-01,4.133333333333333
EX00152,M3 Reconciliation & Payments,TR-04,Unreconciled item aged beyond threshold,Medium,T0002767,acct A00248; open 43 business days; amount 310.58,1.9555555555555557,1.3.0,2026-07-01,5.866666666666667
EX00153,M3 Reconciliation & Payments,TR-04,Unreconciled item aged beyond threshold,Medium,T0002787,acct A00289; open 42 business days; amount 388.04,1.9333333333333333,1.3.0,2026-07-01,5.8
EX00154,M3 Reconciliation & Payments,TR-04,Unreconciled item aged beyond threshold,Medium,T0002984,acct A00394; open 54 business days; amount 33.97,2.0,1.3.0,2026-07-01,6.0
EX00155,M3 Reconciliation & Payments,TR-04,Unreconciled item aged beyond threshold,Medium,T0003131,acct A00110; open 49 business days; amount 64.42,2.0,1.3.0,2026-07-01,6.0
EX00156,M3 Reconciliation & Payments,TR-04,Unreconciled item aged beyond threshold,Medium,T0003377,acct A00376; open 57 business days; amount 163.56,2.0,1.3.0,2026-07-01,6.0
EX00157,M3 Reconciliation & Payments,TR-04,Unreconciled item aged beyond threshold,Medium,T0003378,acct A00370; open 37 business days; amount 410.12,1.8222222222222222,1.3.0,2026-07-01,5.466666666666667
EX00158,M3 Reconciliation & Payments,TR-04,Unreconciled item aged beyond threshold,Medium,T0003706,acct A00267; open 25 business days; amount 288.30,1.5555555555555556,1.3.0,2026-07-01,4.666666666666667
EX00159,M3 Reconciliation & Payments,TR-04,Unreconciled item aged beyond threshold,Medium,T0004596,acct A00349; open 34 business days; amount 732.96,1.7555555555555555,1.3.0,2026-07-01,5.266666666666667
EX00160,M3 Reconciliation & Payments,TR-04,Unreconciled item aged beyond threshold,Medium,T0004848,acct A00228; open 27 business days; amount 370.79,1.6,1.3.0,2026-07-01,4.800000000000001
EX00161,M3 Reconciliation & Payments,TR-05,Account transaction-velocity outlier,Medium,A00102,8 transactions in 14d (robust z=4.0),1.4047,1.3.0,2026-07-01,4.2141
EX00162,M3 Reconciliation & Payments,TR-05,Account transaction-velocity outlier,Medium,A00253,61 transactions in 14d (robust z=39.8),2.0,1.3.0,2026-07-01,6.0
EX00163,M3 Reconciliation & Payments,TR-05,Account transaction-velocity outlier,Medium,A00296,7 transactions in 14d (robust z=3.4),1.33725,1.3.0,2026-07-01,4.01175
EX00164,M3 Reconciliation & Payments,TR-05,Account transaction-velocity outlier,Medium,A00299,62 transactions in 14d (robust z=40.5),2.0,1.3.0,2026-07-01,6.0
EX00165,M3 Reconciliation & Payments,TR-05,Account transaction-velocity outlier,Medium,A00333,60 transactions in 14d (robust z=39.1),2.0,1.3.0,2026-07-01,6.0
EX00166,M3 Reconciliation & Payments,TR-05,Account transaction-velocity outlier,Medium,A00371,62 transactions in 14d (robust z=40.5),2.0,1.3.0,2026-07-01,6.0
